Flight,Airline,Registration,Serial Number,Manufacturer,Type,Age,From,To,Height,Date,Location
"LH439","Lufthansa","D-AIKS","1497","Airbus","A330-343","9","DFW","FRA","37000","31/08/2019","Abingdon"
"TK8","Turkish Airlines","TC-LLD","65804","Boeing","787-9 Dreamliner","4","IAD","IST","38975","31/08/2019","Abingdon"
"BE862","Flybe","G-ECOR","4248","De Havilland","Canada Dash 8-400","14","MAN","SOU","9749","31/08/2019","Abingdon"
"LH8231","Lufthansa Cargo","D-ALCB","48782","McDonnel Douglas","MD-11F","25","LAX","FRA","34975","31/08/2019","Abingdon"
"FR9189","Ryanair","EI-DWY","33638","Boeing","737-8AS","15","EDI","PMI","37000","31/08/2019","Abingdon"
"DL131","Delta Air Lines","N178DN","25143","Boeing","767-332(ER)","32","MUC","ATL","32000","31/08/2019","Abingdon"
"U26877","EasyJet","G-EZRX","8321","Airbus","A320-214","5","GLA","ALC","37000","31/08/2019","Abingdon"
"TB161","TUI","OO-LOE","36426","Boeing","787-8 Dreamliner","8","BRU","PUJ","38000","31/08/2019","Abingdon"
"DL259","Delta Air Lines","N830NW","1769","Airbus","A330-302","6","AMS","BOS","36000","31/08/2019","Abingdon"
"FR6433","Ryanair","EI-GDC","44800","Boeing","737-8AS","6","LPL","IBZ","35000","31/08/2019","Abingdon"
"FR2626","Ryanair","EI-EBF","37524","Boeing","737-8AS","14","MAN","IBZ","34000","31/08/2019","Abingdon"
"BE983","Flybe","G-PRPH","4323","De Havilland","Canada Dash 8-400","13","BHD","SOU","9075","31/08/2019","Abingdon"
"U27283","EasyJet","G-EZDM","3571","Airbus","A319-111","15","LPL","GVA","38690","31/08/2019","Abingdon"
"EI167","Aer Lingus","EI-DEA","2191","Airbus","A320-214","19","LHR","SUB","12549","01/09/2019","Reading"
"BA113","British Airways","G-YMML","30313","Boeing","777-236(ER)","22","LHR","JFK","9858","01/09/2019","Reading"
"BY6719","TUI","G-TAWC","39922","Boeing","737-8K5","11","HER","BRS","23410","01/09/2019","Reading"
"VS11","Virgin Atlantic","G-VUFO","1352","Airbus","A330-343","10","LHR","BOS","8151","01/09/2019","Reading"
"UA925","United Airlines","N785UA","26954","Boeing","777-222(ER)","26","LHR","IAD","8313","01/09/2019","Reading"
"FR9014","Ryanair","EI-FZN","44786","Boeing","737-8AS","6","STN","BCN","23235","01/09/2019","Reading"
"BA243","British Airways","G-ZBKN","38630","Boeing","787-9 Dreamliner","7","LHR","MEX","6198","01/09/2019","Reading"
"EI527","Aer Lingus","EI-CVA","1242","Airbus","A320-214","23","CDG","DUB","35975","01/09/2019","Reading"
"U22922","EasyJet","OE-ICU","6011","Airbus","A320-214","9","MAN","MXP","34002","01/09/2019","Reading"
"LS238","Jet2","G-CELE","24029","Boeing","737-33A","35","PMI","LBA","34000","01/09/2019","Reading"
"GBZIO","White Waltham Airfield","G-BZIO","28-42085","Piper","PA-28-161","23","N/A","N/A","2600","01/09/2019","Reading"
"AA107","American Airlines","N720AN","33522","Boeing","777-323(ER)","10","LHR","JFK","8086","01/09/2019","Reading"
"BE454","Flybe","G-FBJH","17000351","Embraer","ERJ-175STD","11","JER","MAN","34000","01/09/2019","Reading"
"BA454","British Airways","G-EUYP","5784","Airbus","A320-232","9","LHR","AGP","10507","01/09/2019","Reading"
"GEKBA","Private Owner","G-EKBA","1798","Socata","TB-200 Tobago XL","26","ORM","N/A","2000","01/09/2019","Reading"
"TP136","TAP Air Portugal","CS-TVC","8831","Airbus","A320-251N","4","LHR","LIS","10881","01/09/2019","Reading"
"DL4","Delta Air Lines","N856NW","631","Airbus","A330-223","18","LHR","JFK","5840","01/09/2019","Reading"
"FX92","FedEx","N602FE","48402","McDonnel Douglas","MD-11F","33","MEM","LGG","36560","01/09/2019","Reading"
"BA69","British Airways","G-VIIB","27484","Boeing","777-236(ER)","26","LHR","PHL","10590","01/09/2019","Reading"
"U21883","EasyJet","G-EZWZ","6353","Airbus","A320-214","8","MAN","NCE","34987","01/09/2019","Reading"
"BA203","British Airways","G-ZZZC","27107","Boeing","777-236","28","LHR","BOS","10205","01/09/2019","Reading"
"EW1100","Eurowings","OO-SFK","570","Airbus","A330-343","19","DUS","JFK","34000","01/09/2019","Reading"
"EK9987","Emirates SkyCargo","A6-EFK","35611","Boeing","777-F1H","10","BRU","LCK","32000","02/09/2019","Abingdon"
"GNIOS","Private Owner","G-NIOS","32R-8513004","Piper","PA-32R-301","38","N/A","N/A","2539","04/09/2019","Abingdon"
"EIN24V","Aer Lingus","EI-CVC","1443","Airbus","A320-214","22","DUB","N/A","15000","04/09/2019","Abingdon"
"FR2153","Ryanair","EI-FIA","44691","Boeing","737-8AS","8","ALC","BHX","14004","04/09/2019","Abingdon"
"U21811","EasyJet","G-EZPI","7104","Airbus","A320-214","7","MAN","BSL","33000","04/09/2019","Abingdon"
"MT1406","Thomas Cook","LY-VEC","3267","Airbus","A321-211","15","MAN","CFU","26613","05/09/2019","Abingdon"
"FR2154","Ryanair","EI-FIA","44691","Boeing","737-8AS","8","BHX","RMU","22431","05/09/2019","Abingdon"
"UA960","United Airlines","N14001","40936","Boeing","787-10 Dreamliner","5","EWR","FRA","39000","05/09/2019","Abingdon"
"KL1046","KLM","PH-EZP","19000347","Embraer","ERJ-190STD","13","BRS","AMS","25971","05/09/2019","Abingdon"
"FR4116","Ryanair","EI-DYM","36575","Boeing","737-8AS","15","MAN","RMU","35871","06/09/2019","Abingdon"
"BY622","TUI","G-TAWA","37264","Boeing","737-8K5","11","EMA","DLM","23196","06/09/2019","Abingdon"
"BE564","Flybe","G-JECP","4136","De Havilland","Canada Dash 8-400","17","JER","BHX","17000","06/09/2019","Abingdon"
"AA141","American Airlines","N754AN","30262","Boeing","777-223(ER)","22","LHR","JFK","15115","06/09/2019","Abingdon"
"3V10","Magma Aviation","TF-AMR","27898","Boeing","747-45E(BDSF)","28","LGG","JFK","32000","08/09/2019","Abingdon"
"OS88","Austrian Airlines","OE-LAZ","30331","Boeing","767-3Z9(ER)","24","JFK","VIE","37000","08/09/2019","Abingdon"
"FR142","Ryanair","EI-EBO","35004","Boeing","737-8AS","14","DUB","LGW","15000","08/09/2019","Abingdon"
"GHPWA","Private Owner","G-HPWA","80836","Van's","RV-8","23","N/A","N/A","2200","08/09/2019","Abingdon"
"FR-3445","Ryanair","EI-EKL","38498","Boeing","737-8AS","13","MAN","PMI","34798","08/09/2019","Abingdon"
"LG4883","Luxair","LX-LGQ","33802","Boeing","737-7C9","19","LUX","DUB","36000","08/09/2019","Abingdon"
"BA171","British Airways","G-ZBJC","38611","Boeing","787-8 Dreamliner","10","LHR","PIT","15829","08/09/2019","Abingdon"
"LS249","Jet2","G-DRTF","28387","Boeing","737-85P","23","BHX","IBZ","26377","08/09/2019","Abingdon"
"G5HAR","Private Owner","G-SHAR","182-81636","Cessna","182T Skylane","18","QUG","N/A","2554","08/09/2019","Abingdon"
"FR1227","Ryanair","EI-DLK","33592","Boeing","737-8AS","17","MAN","REU","34528","08/09/2019","Abingdon"
"GUMBY","Private Owner","G-UMBY","0346E","MD Helicopters","MD 500","34","GBA","N/A","1975","08/09/2019","Abingdon"
"U2834","EasyJet","G-EZOK","6568","Airbus","A320-214","8","BFS","LGW","15000","08/09/2019","Abingdon"
"FR2521","Ryanair","EI-DYW","33635","Boeing","737-8AS","14","ALC","GLA","38000","08/09/2019","Abingdon"
"U27067","EasyJet","G-EZWU","6095","Airbus","A320-214","9","LPL","NCE","34006","08/09/2019","Abingdon"
"FR9592","Ryanair","EI-DYD","33632","Boeing","737-8AS","15","LPL","PMI","35000","08/09/2019","Abingdon"
"U26401","EasyJet","G-EZIX","2605","Airbus","A319-111","17","NCL","BCN","37000","08/09/2019","Abingdon"
"TO3728","Transavia","F-HTVM","35176","Boeing","737-84P","15","ORY","DUB","38000","08/09/2019","Abingdon"
"FR2266","Ryanair","EI-EXF","40322","Boeing","737-8AS","10","BHX","AGP","25351","08/09/2019","Abingdon"
"LS641","Jet2","G-GDFF","28385","Boeing","737-85P","23","EMA","ALC","23815","09/09/2019","Abingdon"
"U2836","EasyJet","G-EZBV","3122","Airbus","A319-111","16","BFS","LGW","15000","09/09/2019","Abingdon"
"FR9163","Ryanair","EI-FZV","44794","Boeing","737-8AS","6","BHX","BCN","26309","09/09/2019","Abingdon"
"IB3635","Iberia Express","EC-LLE","1119","Airbus","A320-214","23","BHX","MAD","22898","09/09/2019","Abingdon"
"FR7544","Ryanair","EI-ENB","40289","Boeing","737-8AS","12","MAN","BCN","33491","09/09/2019","Abingdon"
"FR9451","Ryanair","EI-DYC","36567","Boeing","737-8AS","15","TSF","DUB","38000","09/09/2019","Abingdon"
"FR9303","Ryanair","EI-FOR","44718","Boeing","737-8AS","7","GRO","EDI","36000","09/09/2019","Abingdon"
"FR3626","Ryanair","EI-DCG","33805","Boeing","737-8AS","19","MAN","CAG","35000","09/09/2019","Abingdon"
"FR2329","Ryanair","EI-EML","38513","Boeing","737-8AS","13","LIG","LBA","38000","09/09/2019","Abingdon"
"5Y604","Atlas Air","N850GT","37570","Boeing","747-87U(F)","11","LUX","HSV","30000","09/09/2019","Abingdon"
"FR9136","Ryanair","EI-FRD","44738","Boeing","737-8AS","7","ORK","BUD","37000","09/09/2019","Abingdon"
"VY7815","Vueling","EC-MEL","6450","Airbus","A320-232","8","BCN","EDI","36000","09/09/2019","Abingdon"
"FR4844","Ryanair","EI-EBR","37530","Boeing","737-8AS","14","DUB","BGY","35000","09/09/2019","Abingdon"
"FR2060","Ryanair","EI-FIZ","44709","Boeing","737-8AS","7","BHX","PMI","26647","09/09/2019","Abingdon"
"GOSKR","Private Owner","G-OSKR","BMAA/HB/249","SkyRanger","912(2)","20","OXF","GBA","1796","09/09/2019","Abingdon"
"U21845","EasyJet","G-UZHB","7705","Airbus","A320-251N","6","MAN","BCN","35137","09/09/2019","Abingdon"
"U27121","EasyJet","G-EZBO","3082","Airbus","A319-111","16","LPL","ALC","34169","09/09/2019","Abingdon"
"MS996","EgyptAir","SU-GDN","38288","Boeing","777-36N(ER)","12","YYZ","CAI","35000","10/09/2019","Abingdon"
"BE890","Flybe","G-FLBA","4253","De Havilland","Canada Dash 8-400","24","SOU","GLA","23194","11/09/2019","Abingdon"
"FR6601","Ryanair","EI-DLX","33600","Boeing","737-8AS","16","EMA","PMI","28645","11/09/2019","Abingdon"
"LH474","Lufthansa","D-AIXL","255","Airbus","A350-941","4","MUC","YUL","38000","11/09/2019","Abingdon"
"UA84","United Airlines","N16009","40938","Boeing","787-10 Dreamliner","4","EWR","TLV","35000","12/09/2019","Abingdon"
"QR8917","Quatar Cargo","A7-BFI","62083","Boeing","777-FDZ","7","GDL","LGG","37000","12/09/2019","Abingdon"
"FX26","FedEx","N864FD","37735","Boeing","777-FS2","11","MEM","CGN","35000","12/09/2019","Abingdon"
"UA918","United Airlines","N222UA","30553","Boeing","777-222(ER)","22","IAD","LHR","11691","13/09/2019","Abingdon"
"BA2558","British Airways","G-DBCA","2098","Airbus","A319-131","19","LGW","VCE","0","13/09/2019","Gatwick"
"EIN24V","Aer Lingus","EI-CVA","1242","Airbus","A320-214","23","DUB","N/A","0","13/09/2019","Gatwick"
"U28304","EasyJet","G-EZTC","3871","Airbus","A320-214","14","MAH","LGW","0","13/09/2019","Gatwick"
"U28339","EasyJet","G-EZTB","3843","Airbus","A320-214","14","LGW","TLS","0","13/09/2019","Gatwick"
"GR610","Aurigny Air Services","G-NSEY","19000671","Embraer","ERJ-195STD","9","GCI","LGW","0","13/09/2019","Gatwick"
"U28929","EasyJet","G-EZAO","2769","Airbus","A319-111","17","LGW","FAO","0","13/09/2019","Gatwick"
"BA2611","British Airways","G-EUUZ","3649","Airbus","A320-232","14","NAP","LGW","0","13/09/2019","Gatwick"
"U28214","EasyJet","OE-LQA","3799","Airbus","A319-111","14","SXF","LGW","200","13/09/2019","Gatwick"
"D82857","Norwegian","EI-FJE","39420","Boeing","737-8JP","11","ARN","LGW","0","13/09/2019","Gatwick"
"U28197","EasyJet","G-UZMF","8508","Airbus","A321-251NX","4","LGW","MXP","0","13/09/2019","Gatwick"
"U28880","EasyJet","OE-IVE","7132","Airbus","A320-214","7","AMS","LGW","0","13/09/2019","Gatwick"
"U28985","EasyJet","G-EZFX","4385","Airbus","A319-111","13","LGW","MUC","0","13/09/2019","Gatwick"
"U2897","EasyJet","GEZGF","4635","Airbus","A319-211","12","LGW","JER","0","13/09/2019","Gatwick"
"BA2783","British Airways","G-EUUT","3314","Airbus","A320-232","15","OPO","LGW","700","13/09/2019","Gatwick"
"U28237","EasyJet","G-EZAA","2677","Airbus","A319-111","17","LGW","PSA","0","13/09/2019","Gatwick"
"VY7292","Vueling","EC-MBY","4674","Airbus","A320-214","12","BIO","LGW","0","13/09/2019","Gatwick"
"D82808","Norwegian","EI-FJV","42080","Boeing","737-8JP","7","LGW","OSL","0","13/09/2019","Gatwick"
"U28198","EasyJet","OE-INB","7730","Airbus","A320-214","6","MXP","LGW","0","13/09/2019","Gatwick"
"IB3718","Iberia Express","EC-ILQ","1736","Airbus","A320-214","21","MAD","LGW","500","13/09/2019","Gatwick"
"EK9","Emirates","A6-EVE","250","Airbus","A380-842","5","DXB","LGW","525","13/09/2019","Gatwick"
"FR1182","Ryanair","EI-GSJ","44845","Boeing","737-8AS","4","SNN","LGW","950","13/09/2019","Gatwick"
"EZY917V","EasyJet","G-EZTG","3946","Airbus","A320-214","14","LGW","EDI","0","13/09/2019","Gatwick"
"EZY74TX","EasyJet","G-EZBE","2884","Airbus","A319-111","17","LGW","FCO","0","13/09/2019","Gatwick"
"W62221","Wizz Air","HA-LVC","8816","Airbus","A321-271NX","4","BUD","LGW","1400","13/09/2019","Gatwick"
"BA2686","British Airways","G-DBCH","2697","Airbus","A319-131","17","LGW","BIO","0","13/09/2019","Gatwick"
"VY228","Vueling","EX-NCS","8818","Airbus","A321-271N","4","FCO","LGW","900","13/09/2019","Gatwick"
"FR143","Ryanair","EI-DWO","36079","Boeing","737-8AS","15","LGW","DUB","0","13/09/2019","Gatwick"
"U2841","EasyJet","OE-LQM","3824","Airbus","A319-111","14","LGW","BFS","0","13/09/2019","Gatwick"
"BA2763","British Airways","G-EUUS","3301","Airbus","A320-232","15","AMS","LGW","375","13/09/2019","Gatwick"
"BY4574","TUI","G-TUIK","44579","Boeing","787-9 Dreamliner","6","LGW","BOJ","0","13/09/2019","Gatwick"
"D82807","Norwegian","EI-FHL","42078","Boeing","737-8JP","8","OSL","LGW","275","13/09/2019","Gatwick"
"BY4567","TUI","G-TAWW","41663","Boeing","737-8K5","8","MAH","LGW","375","13/09/2019","Gatwick"
"U28234","EasyJet","G-EZFE","4425","Airbus","A319-111","13","PSA","LGW","800","13/09/2019","Gatwick"
"BA2598","British Airways","G-GATR","1771","Airbus","A320-232","21","LGW","VRN","0","13/09/2019","Gatwick"
"U2896","EasyJet","G-UZHK","8356","Airbus","A320-251N","5","JER","LGW","1325","13/09/2019","Gatwick"
"DY1318","Norwegian","LN-NGZ","41127","Boeing","737-8JP","9","BGO","LGW","1225","13/09/2019","Gatwick"
"U28072","EasyJet","OE-LQT","3053","Airbus","A319-111","16","VCE","LGW","1825","13/09/2019","Gatwick"
"U2886","EasyJet","G-EZAL","2754","Airbus","A319-111","17","GLA","LGW","225","13/09/2019","Gatwick"
"BY579","TUI","G-OOBA","32446","Boeing","757-28A","22","BVC","LGW","1600","13/09/2019","Gatwick"
"U2838","EasyJet","G-EZGX","8381","Airbus","A320-214","5","BFS","LGW","1700","13/09/2019","Gatwick"
"U2812","EasyJet","G-EZWB","5224","Airbus","A320-214","11","EDI","LGW","2275","13/09/2019","Gatwick"
"QR331","Qatar Airways","A7-BCQ","38335","Boeing","787-8 Dreamliner","8","DOH","LGW","2400","13/09/2019","Gatwick"
"TK1299","Turkish Airlines","TC-JZG","60028","Boeing","737-8F2","7","ESB","LGW","225","13/09/2019","Gatwick"
"U28580","EasyJet","OE-IJR","3975","Airbus","A320-214","14","BCN","LGW","1050","13/09/2019","Gatwick"
"BA2777","British Airways","G-MIDO","1987","Airbus","A320-232","20","JER","LGW","2025","13/09/2019","Gatwick"
"W63309","Wizz Air","HA-LWI","4628","Airbus","A320-232","12","CLJ","LGW","1925","13/09/2019","Gatwick"
"VY7820","Vueling","EC-LVO","5535","Airbus","A320-214","10","BCN","LGW","4325","13/09/2019","Gatwick"
"D82909","Norwegian","EI-FHY","39020","Boeing","737-8JP","10","CPH","LGW","21450","13/09/2019","Gatwick"
"W61619","Wizz Air","HA-LWH","4621","Airbus","A320-232","12","GDN","LGW","2450","13/09/2019","Gatwick"
"U2867","EasyJet","G-UZHE","8110","Airbus","A320-251N","5","LGW","INV","1950","13/09/2019","Gatwick"
"U28882","EasyJet","G-EZBA","2860","Airbus","A319-111","17","AMS","LGW","2450","13/09/2019","Gatwick"
"W62222","Wizz Air","HA-LVC","8816","Airbus","A321-271NX","4","LGW","BUD","0","13/09/2019","Gatwick"
"EK10","Emirates","A6-EVE","250","Airbus","A380-842","5","LGW","DXB","0","13/09/2019","Gatwick"
"BA2701","British Airways","G-EUUV","3468","Airbus","A320-232","15","BGY","LGW","1000","13/09/2019","Gatwick"
"W63031","Wizz Air","HA-LXB","6910","Airbus","A321-231","7","OTP","LGW","2025","13/09/2019","Gatwick"
"U28549","EasyJet","G-EZFY","4418","Airbus","A319-111","13","LGW","RMU","0","14/09/2019","Gatwick"
"LS762","Jet2","G-JZHF","28378","Boeing","737-8K2","24","MUR","MAN","13641","18/09/2019","Playa Flamenca"
"IB8393","Iberia Regional","EC-MUG","19061","Bombardier","CRJ-1000","5","ALC","MAD","14276","18/09/2019","Playa Flamenca"
"FR8539","Ryanair","EI-DPT","35550","Boeing","737-8AS","16","SCQ","ALC","953","19/09/2019","Alicante"
"FR6646","Ryanair","EI-GDF","44801","Boeing","737-8AS","5","ALC","STN","1703","19/09/2019","Alicante"
"No Callsign","Ryanair","EI-FIA","44691","Boeing","737-8AS","8","ALC","N/A","1230","19/09/2019","Alicante"
"UX5013","Air Europa","EC-IDA","32773","Boeing","737-86Q","21","AGP","PMI","38000","20/09/2019","Alicante"
"OE2604","Laudamotion","OE-LOB","2928","Airbus","A320-232","16","DUS","ALC","249","20/09/2019","Alicante"
"FR1891","Ryanair","9H-QAL","44790","Boeing","737-8AS","6","ALC","TLS","1438","20/09/2019","Alicante"
"FR8375","Ryanair","EI-FZO","44787","Boeing","737-8AS","6","RMU","PMI","16760","21/09/2019","Playa Flamenca"
"FR4117","Ryanair","EI-FTZ","44773","Boeing","737-8AS","6","RMU","MAN","13236","21/09/2019","Playa Flamenca"
"U28551","EasyJet","G-EZFY","4418","Airbus","A319-111","13","LGW","RMU","930","22/09/2019","Murcia Corvera International Airport"
"EZY8552","EasyJet","G-EZFY","4418","Airbus","A319-111","13","RMU","LGW","0","22/09/2019","Murcia Corvera International Airport"
"MT507","Thomas Cook","G-TCDV","1972","Airbus","A321-211","20","AYT","LGW","312","22/09/2019","Gatwick"
"DL42","Delta Air Lines","N862DA","29734","Boeing","777-323(ER)","24","MSP","CDG","39000","23/09/2019","Abingdon"
"UA70","United Airlines","N77066","29461","Boeing","767-424(ER)","21","EWR","AMS","36000","23/09/2019","Abingdon"
"KL736","KLM","PH-BFY","30455","Boeing","747-406(M)","21","CUR","AMS","39000","23/09/2019","Abingdon"
"UA962","United Airlines","N672UA","30027","Boeing","767-322(ER)","23","EWR","TXL","36000","23/09/2019","Abingdon"
"LH403","Lufthansa","D-ABYG","37831","Boeing","747-830","10","EWR","FRA","35000","23/09/2019","Abingdon"
"LY6","El Al Israel Airlines","4X-EDL","65094","Boeing","787-9 Dreamliner","4","LAX","TLV","38975","23/09/2019","Abingdon"
"AA20","American Airlines","N719AN","41668","Boeing","777-323(ER)","10","DFW","LHR","12935","23/09/2019","Abingdon"
"LS1215","Jet2","G-GDFU","30416","Boeing","737-8K5","22","BHX","ALC","23947","23/09/2019","Abingdon"
"U2800","EasyJet","G-EZDV","3742","Airbus","A319-111","14","EDI","LGW","15000","23/09/2019","Abingdon"
"U2830","EasyJet","G-EZWY","6267","Airbus","A320-214","9","BFS","LGW","15000","23/09/2019","Abingdon"
"LS313","Jet2","G-GDFB","25743","Boeing","737-33A","31","BFS","GRO","30980","23/09/2019","Abingdon"
"U26717","EasyJet","G-UZHL","8375","Airbus","A320-251N","5","BFS","VCE","39000","23/09/2019","Abingdon"
"BE889","Flybe","G-JECP","4136","De Havilland","Canada Dash 8-400","17","GLA","SOU","10976","24/09/2019","Abingdon"
"5Y8937","Atlas Air","N418MC","32840","Boeing","747-47U(F)","20","N/A","N/A","36986","24/09/2019","Abingdon"
"BE4437","Flybe","G-FBJC","17000328","Embraer","ERJ-175STD","12","DSA","ALC","32999","24/09/2019","Abingdon"
"EI238","Aer Lingus","EI-CVB","1394","Boeing","737-8AS","22","DUB","LGW","15000","24/09/2019","Abingdon"
"FR9163","Ryanair","EI-ESZ","34996","Boeing","737-8AS","11","BHX","BCN","24055","24/09/2019","Abingdon"
"FR1120","Ryanair","EI-EPA","34987","Boeing","737-8AS","12","CCF","EDI","36025","24/09/2019","Abingdon"
"FR116","Ryanair","EI-FOZ","44731","Boeing","737-8AS","7","DUB","LGW","15000","24/09/2019","Abingdon"
"BY3250","TUI","F-FDZY","37261","Boeing","737-8K5","11","LBA","PMI","37000","24/09/2019","Abingdon"
"LS1283","Jet2","G-JZHB","28623","Boeing","737-8K5","23","BHX","RHO","25347","24/09/2019","Abingdon"
